id,name,scientific name,type,parent species id,family,group,authority,rarity,status,obscurity,link
149,Meerkoet,Fulica atra,soort,,"Rallidae (Rallen, koeten en waterhoentjes)",Vogels,"Linnaeus, C, 1758",algemeen,inheems,,https://waarneming.nl/species/149/
245002,Meerkoet ssp atra,Fulica atra atra,ondersoort,149,"Rallidae (Rallen, koeten en waterhoentjes)",Vogels,"Linnaeus, C, 1758",algemeen,inheems,,https://waarneming.nl/species/245002/
643256,Mees onbekend,Paridae indet.,verzamelsoort,,Paridae (Mezen),Vogels,,algemeen,inheems,,https://waarneming.nl/species/643256/
20638,Meeuw (Larus) onbekend,Larus spec.,verzamelsoort,,"Laridae (Meeuwen, Sterns en Schaarbekken)",Vogels,"Linnaeus, C, 1758",algemeen,inheems,,https://waarneming.nl/species/20638/
240779,Meeuw of Stern onbekend,Laridae indet.,verzamelsoort,,"Laridae (Meeuwen, Sterns en Schaarbekken)",Vogels,,algemeen,inheems,,https://waarneming.nl/species/240779/
150,Merel,Turdus merula,soort,,Turdidae (Lijsters),Vogels,"Linnaeus, C, 1758",algemeen,inheems,,https://waarneming.nl/species/150/
259583,Merel ssp merula,Turdus merula merula,ondersoort,150,Turdidae (Lijsters),Vogels,"Linnaeus, C, 1758",algemeen,inheems,,https://waarneming.nl/species/259583/
18933,Mexicaanse Roodmus,Haemorhous mexicanus,soort,,Fringillidae (Vinken),Vogels,"(Müller, PLS, 1776)",vrij algemeen,incidentele invoer,,https://waarneming.nl/species/18933/
71816,Mexicaanse Violetoorkolibrie,Colibri thalassinus,soort,,Trochilidae (Kolibries),Vogels,"(Swainson, WJ, 1827)",vrij algemeen,exoot,,https://waarneming.nl/species/71816/
290,Middelste Bonte Specht,Dendrocoptes medius,soort,,Picidae (Spechten),Vogels,"(Linnaeus, C, 1758)",vrij algemeen,inheems,,https://waarneming.nl/species/290/
249585,Middelste Bonte Specht ssp medius,Dendrocoptes medius medius,ondersoort,290,Picidae (Spechten),Vogels,"(Linnaeus, C, 1758)",vrij algemeen,inheems,,https://waarneming.nl/species/249585/
778,Middelste Canadese Gans,Branta canadensis parvipes,ondersoort,110,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Cassin, J, 1852)",vrij algemeen,exoot,,https://waarneming.nl/species/778/
291,Middelste Jager,Stercorarius pomarinus,soort,,Stercorariidae (Jagers),Vogels,"(Temminck, CJ, 1815)",vrij algemeen,inheems,,https://waarneming.nl/species/291/
292,Middelste Zaagbek,Mergus serrator,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"Linnaeus, C, 1758",vrij algemeen,inheems,,https://waarneming.nl/species/292/
685208,Milvus spec.,Milvus spec.,verzamelsoort,,"Accipitridae (Wouwen, Haviken en Arenden)",Vogels,"de Lacépède, BGE, 1799",onbekend,inheems,,https://waarneming.nl/species/685208/
262187,Mirtezanger,Setophaga coronata,soort,,Parulidae (Amerikaanse zangers),Vogels,"(Linnaeus, C, 1766)",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/262187/
27036,Moltoni's Baardgrasmus,Curruca subalpina,soort,,Sylviidae (Grasmussen),Vogels,"(Temminck, CJ, 1820)",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/27036/
71438,Molukse Edelpapegaai,Eclectus roratus,soort,,Psittaculidae (Parkieten),Vogels,"(Müller, PLS, 1776)",vrij algemeen,incidentele invoer,,https://waarneming.nl/species/71438/
1011,Mongoolse Pieper,Anthus godlewskii,soort,,Motacillidae (Piepers en Kwikstaarten),Vogels,"(Taczanowski, W, 1876)",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/1011/
889,Mongoolse Plevier,Anarhynchus mongolus,soort,,Charadriidae (Kieviten en Plevieren),Vogels,"(Pallas, PS, 1776)",zeer zeldzaam,inheems,,https://waarneming.nl/species/889/
293,Monniksgier,Aegypius monachus,soort,,"Accipitridae (Wouwen, Haviken en Arenden)",Vogels,"(Linnaeus, C, 1766)",zeer zeldzaam,inheems,,https://waarneming.nl/species/293/
1681,Monniksparkiet,Myiopsitta monachus,soort,,Psittacidae (Papegaaien),Vogels,"(Boddaert, P, 1783)",vrij algemeen,exoot,,https://waarneming.nl/species/1681/
294,Morinelplevier,Eudromias morinellus,soort,,Charadriidae (Kieviten en Plevieren),Vogels,"(Linnaeus, C, 1758)",zeldzaam,inheems,,https://waarneming.nl/species/294/
18963,Motacilla alba alba / yarrellii,Motacilla alba alba / yarrellii,synoniem,202,Motacillidae (Piepers en Kwikstaarten),Vogels,,algemeen,inheems,,https://waarneming.nl/species/18963/
2008,Mozambiquesijs,Crithagra mozambica,soort,,Fringillidae (Vinken),Vogels,"(Müller, PLS, 1776)",algemeen,incidentele invoer,,https://waarneming.nl/species/2008/
643341,Mus onbekend,Passeridae indet.,verzamelsoort,,Passeridae (Mussen),Vogels,,vrij algemeen,inheems,,https://waarneming.nl/species/643341/
72497,Musduif,Columbina passerina,soort,,Columbidae (Duiven),Vogels,"(Linnaeus, C, 1758)",vrij algemeen,exoot,,https://waarneming.nl/species/72497/
78197,Muskaatvink,Lonchura punctulata,soort,,Estrildidae (Prachtvinken),Vogels,"(Linnaeus, C, 1758)",vrij algemeen,exoot,,https://waarneming.nl/species/78197/
1015687,Muskuseend (gedomesticeerd),Cairina moschata f. domestica,forma,151,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,,algemeen,exoot,,https://waarneming.nl/species/1015687/
295,Nachtegaal,Luscinia megarhynchos,soort,,Muscicapidae (Vliegenvangers),Vogels,"Brehm, CL, 1831",vrij algemeen,inheems,,https://waarneming.nl/species/295/
259866,Nachtegaal ssp megarhynchos,Luscinia megarhynchos megarhynchos,ondersoort,295,Muscicapidae (Vliegenvangers),Vogels,"Brehm, CL, 1831",vrij algemeen,inheems,,https://waarneming.nl/species/259866/
36,Nachtzwaluw,Caprimulgus europaeus,soort,,Caprimulgidae (Nachtzwaluwen),Vogels,"Linnaeus, C, 1758",vrij algemeen,inheems,,https://waarneming.nl/species/36/
247549,Nachtzwaluw ssp europaeus,Caprimulgus europaeus europaeus,ondersoort,36,Caprimulgidae (Nachtzwaluwen),Vogels,"Linnaeus, C, 1758",vrij algemeen,inheems,,https://waarneming.nl/species/247549/
20758,Nandayparkiet,Aratinga nenday,soort,,Psittacidae (Papegaaien),Vogels,"(Vieillot, LJP, 1823)",vrij algemeen,exoot,,https://waarneming.nl/species/20758/
70127,Nandoe,Rhea americana,soort,,Rheidae (Nandoes),Vogels,"(Linnaeus, C, 1758)",vrij algemeen,incidentele invoer,,https://waarneming.nl/species/70127/
78145,Napoleonnetje,Estrilda troglodytes,soort,,Estrildidae (Prachtvinken),Vogels,"(Lichtenstein, MHC, 1823)",vrij algemeen,exoot,,https://waarneming.nl/species/78145/
1968,Napoleonwever,Euplectes afer,soort,,Ploceidae (Wevers),Vogels,"(Gmelin, JF, 1789)",algemeen,exoot,,https://waarneming.nl/species/1968/
2011,Naumanns Lijster,Turdus naumanni,soort,,Turdidae (Lijsters),Vogels,"Temminck, CJ, 1820",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/2011/
19282,Nepalfazant,Lophura leucomelanos,soort,,"Phasianidae (Kwartels, Patrijzen en Fazanten)",Vogels,"(Latham, J, 1790)",algemeen,exoot,,https://waarneming.nl/species/19282/
152,Nijlgans,Alopochen aegyptiaca,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Linnaeus, C, 1766)",algemeen,exoot,,https://waarneming.nl/species/152/
153,Nonnetje,Mergellus albellus,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Linnaeus, C, 1758)",vrij algemeen,inheems,,https://waarneming.nl/species/153/
845,Noord-Amerikaanse Roerdomp,Botaurus lentiginosus,soort,,Ardeidae (Reigers),Vogels,"(Rackett, T, 1813)",zeer zeldzaam,inheems,,https://waarneming.nl/species/845/
76387,Noordelijke Blauwoorglansspreeuw,Lamprotornis chloropterus chloropterus,ondersoort,1203036,Sturnidae (Spreeuwen),Vogels,"Swainson, WJ, 1838",vrij algemeen,exoot,,https://waarneming.nl/species/76387/
806041,Noordelijke Klapekster,Lanius borealis,soort,,Laniidae (Klauwieren),Vogels,"Vieillot, LJP, 1808",zeer zeldzaam,inheems,,https://waarneming.nl/species/806041/
211946,Noordelijke Klapekster ssp sibiricus,Lanius borealis sibiricus,ondersoort,806041,Laniidae (Klauwieren),Vogels,"Bogdanov, MN, 1881",zeer zeldzaam,inheems,,https://waarneming.nl/species/211946/
1162,Noordse Boszanger,Phylloscopus borealis,soort,,Phylloscopidae (Boszangers),Vogels,"(Blasius, JH, 1858)",zeer zeldzaam,inheems,,https://waarneming.nl/species/1162/
296,Noordse Fitis,Phylloscopus trochilus acredula,ondersoort,89,Phylloscopidae (Boszangers),Vogels,"(Linnaeus, C, 1758)",zeer zeldzaam,inheems,,https://waarneming.nl/species/296/
18685,Noordse Goudvink,Pyrrhula pyrrhula pyrrhula,ondersoort,101,Fringillidae (Vinken),Vogels,"(Linnaeus, C, 1758)",vrij algemeen,inheems,,https://waarneming.nl/species/18685/
1404,Noordse Kauw,Coloeus monedula monedula,ondersoort,126,Corvidae (Kraaien en Gaaien),Vogels,"(Linnaeus, C, 1758)",vrij algemeen,inheems,,https://waarneming.nl/species/1404/
1026,Noordse Kwikstaart,Motacilla flava thunbergi,ondersoort,95,Motacillidae (Piepers en Kwikstaarten),Vogels,"Billberg, GJ, 1828",vrij algemeen,inheems,,https://waarneming.nl/species/1026/
1053,Noordse Nachtegaal,Luscinia luscinia,soort,,Muscicapidae (Vliegenvangers),Vogels,"(Linnaeus, C, 1758)",zeer zeldzaam,inheems,,https://waarneming.nl/species/1053/
297,Noordse Pijlstormvogel,Puffinus puffinus,soort,,Procellariidae (Stormvogels en pijlstormvogels),Vogels,"(Brünnich, MT, 1764)",zeldzaam,inheems,,https://waarneming.nl/species/297/
30,Noordse Stern,Sterna paradisaea,soort,,"Laridae (Meeuwen, Sterns en Schaarbekken)",Vogels,"Pontoppidan, E, 1763",vrij algemeen,inheems,,https://waarneming.nl/species/30/
1986,Noordse Stern of Visdief,Sterna hirundo/paradisaea,verzamelsoort,,"Laridae (Meeuwen, Sterns en Schaarbekken)",Vogels,,algemeen,inheems,,https://waarneming.nl/species/1986/
298,Noordse Stormvogel,Fulmarus glacialis,soort,,Procellariidae (Stormvogels en pijlstormvogels),Vogels,"(Linnaeus, C, 1761)",vrij algemeen,inheems,,https://waarneming.nl/species/298/
243889,Noordse Stormvogel ssp auduboni,Fulmarus glacialis auduboni,ondersoort,298,Procellariidae (Stormvogels en pijlstormvogels),Vogels,"Bonaparte, CLJL, 1855",vrij algemeen,inheems,,https://waarneming.nl/species/243889/
78563,Noordse Waterlijster,Parkesia noveboracensis,soort,,Parulidae (Amerikaanse zangers),Vogels,"(Gmelin, JF, 1789)",zeer zeldzaam,inheems,,https://waarneming.nl/species/78563/
1177355,Noordse of Swinhoes Boszanger,Phylloscopus borealis / plumbeitarsus,verzamelsoort,0,Phylloscopidae (Boszangers),Vogels,,zeer zeldzaam,inheems,,https://waarneming.nl/species/1177355/
105273,Noorse Kleine Mantelmeeuw,Larus fuscus intermedius,ondersoort,131,"Laridae (Meeuwen, Sterns en Schaarbekken)",Vogels,"Schiøler, EL, 1922",algemeen,inheems,,https://waarneming.nl/species/105273/
1228,Notenkraker,Nucifraga caryocatactes,soort,,Corvidae (Kraaien en Gaaien),Vogels,"(Linnaeus, C, 1758)",zeer zeldzaam,inheems,,https://waarneming.nl/species/1228/
